record_from,record_to,cos_distance
38,39,[[0.93237811]]
38,40,[[0.38548967]]
38,41,[[0.31882631]]
38,42,[[0.27333639]]
38,46,[[0.34551584]]
38,47,[[0.39988915]]
38,48,[[0.3983004]]
38,49,[[0.37733819]]
38,50,[[0.37525176]]
38,56,[[0.46539584]]
38,57,[[0.4651069]]
38,58,[[0.42460246]]
38,69,[[0.44287329]]
38,70,[[0.40434106]]
38,71,[[0.39334425]]
38,72,[[0.43157503]]
38,73,[[0.39144081]]
38,74,[[0.4052011]]
38,75,[[0.39361531]]
38,87,[[0.40336908]]
38,88,[[0.41466302]]
38,89,[[0.40710131]]
38,90,[[0.40045521]]
38,91,[[0.43203813]]
38,95,[[0.43392328]]
38,96,[[0.42337157]]
38,97,[[0.39578753]]
38,98,[[0.41990168]]
38,99,[[0.40884445]]
39,40,[[0.39322907]]
39,41,[[0.35561468]]
39,42,[[0.31071508]]
39,46,[[0.40140441]]
39,47,[[0.40471849]]
39,48,[[0.41870457]]
39,49,[[0.38875142]]
39,50,[[0.38515152]]
39,56,[[0.42322916]]
39,57,[[0.42478992]]
39,58,[[0.3595037]]
39,69,[[0.46473716]]
39,70,[[0.43765331]]
39,71,[[0.39395174]]
39,72,[[0.47290071]]
39,73,[[0.40317665]]
39,74,[[0.37632048]]
39,75,[[0.32513893]]
39,87,[[0.36859349]]
39,88,[[0.36905985]]
39,89,[[0.39347352]]
39,90,[[0.34219347]]
39,91,[[0.38654313]]
39,95,[[0.43616865]]
39,96,[[0.46691864]]
39,97,[[0.43105625]]
39,98,[[0.44173204]]
39,99,[[0.45135423]]
40,41,[[0.89775325]]
40,42,[[0.89832562]]
40,46,[[0.20935449]]
40,47,[[0.25272801]]
40,48,[[0.22391397]]
40,49,[[0.22844031]]
40,50,[[0.20891835]]
40,56,[[0.42170585]]
40,57,[[0.381781]]
40,58,[[0.45086702]]
40,69,[[0.4231504]]
40,70,[[0.40395316]]
40,71,[[0.39242663]]
40,72,[[0.44368641]]
40,73,[[0.43849207]]
40,74,[[0.39750241]]
40,75,[[0.42509892]]
40,87,[[0.31420216]]
40,88,[[0.34844988]]
40,89,[[0.34976848]]
40,90,[[0.17294796]]
40,91,[[0.29944072]]
40,95,[[0.35268256]]
40,96,[[0.36899054]]
40,97,[[0.36644641]]
40,98,[[0.36013425]]
40,99,[[0.3701195]]
41,42,[[0.97659137]]
41,46,[[0.20729168]]
41,47,[[0.19477882]]
41,48,[[0.21219745]]
41,49,[[0.21164708]]
41,50,[[0.18456843]]
41,56,[[0.31799446]]
41,57,[[0.28731924]]
41,58,[[0.36970004]]
41,69,[[0.39553275]]
41,70,[[0.39576907]]
41,71,[[0.34295203]]
41,72,[[0.43408453]]
41,73,[[0.40926233]]
41,74,[[0.38942433]]
41,75,[[0.4127889]]
41,87,[[0.37740685]]
41,88,[[0.39564675]]
41,89,[[0.426725]]
41,90,[[0.20494739]]
41,91,[[0.35083488]]
41,95,[[0.23169244]]
41,96,[[0.2928105]]
41,97,[[0.28456926]]
41,98,[[0.27385245]]
41,99,[[0.29606419]]
42,46,[[0.21731782]]
42,47,[[0.21987656]]
42,48,[[0.22691575]]
42,49,[[0.22558]]
42,50,[[0.18616963]]
42,56,[[0.32661328]]
42,57,[[0.29233153]]
42,58,[[0.38423211]]
42,69,[[0.37879157]]
42,70,[[0.36932374]]
42,71,[[0.31780911]]
42,72,[[0.41134106]]
42,73,[[0.40285426]]
42,74,[[0.37306588]]
42,75,[[0.41823092]]
42,87,[[0.33723337]]
42,88,[[0.3541482]]
42,89,[[0.39234615]]
42,90,[[0.1687498]]
42,91,[[0.31584082]]
42,95,[[0.26390986]]
42,96,[[0.34624027]]
42,97,[[0.33396998]]
42,98,[[0.32337451]]
42,99,[[0.34888431]]
46,47,[[0.89527427]]
46,48,[[0.91104267]]
46,49,[[0.9140638]]
46,50,[[0.90591449]]
46,56,[[0.21142158]]
46,57,[[0.19203301]]
46,58,[[0.13103379]]
46,69,[[0.42787668]]
46,70,[[0.43541916]]
46,71,[[0.42389899]]
46,72,[[0.42538576]]
46,73,[[0.42449216]]
46,74,[[0.34488062]]
46,75,[[0.32155689]]
46,87,[[0.26385686]]
46,88,[[0.27365561]]
46,89,[[0.27323654]]
46,90,[[0.08136217]]
46,91,[[0.26093815]]
46,95,[[0.41333329]]
46,96,[[0.32238958]]
46,97,[[0.26285005]]
46,98,[[0.30686137]]
46,99,[[0.27794621]]
47,48,[[0.97846209]]
47,49,[[0.96648472]]
47,50,[[0.96817055]]
47,56,[[0.31596859]]
47,57,[[0.30109979]]
47,58,[[0.23618982]]
47,69,[[0.45844196]]
47,70,[[0.45410201]]
47,71,[[0.45685577]]
47,72,[[0.43878847]]
47,73,[[0.43707616]]
47,74,[[0.42488599]]
47,75,[[0.40938786]]
47,87,[[0.21188578]]
47,88,[[0.23997129]]
47,89,[[0.1892376]]
47,90,[[0.07398905]]
47,91,[[0.21049272]]
47,95,[[0.44494298]]
47,96,[[0.39471711]]
47,97,[[0.33034513]]
47,98,[[0.39254603]]
47,99,[[0.33818529]]
48,49,[[0.98574496]]
48,50,[[0.96418739]]
48,56,[[0.20564989]]
48,57,[[0.19575717]]
48,58,[[0.1509665]]
48,69,[[0.43968604]]
48,70,[[0.44466229]]
48,71,[[0.42411421]]
48,72,[[0.43468996]]
48,73,[[0.42177955]]
48,74,[[0.42722854]]
48,75,[[0.39807164]]
48,87,[[0.24630861]]
48,88,[[0.25543146]]
48,89,[[0.23596997]]
48,90,[[0.08735298]]
48,91,[[0.22821187]]
48,95,[[0.44156952]]
48,96,[[0.41597813]]
48,97,[[0.33792736]]
48,98,[[0.3930147]]
48,99,[[0.34524167]]
49,50,[[0.96869836]]
49,56,[[0.2025813]]
49,57,[[0.17984843]]
49,58,[[0.16396563]]
49,69,[[0.44439409]]
49,70,[[0.45286049]]
49,71,[[0.45054365]]
49,72,[[0.4400434]]
49,73,[[0.42898854]]
49,74,[[0.38782132]]
49,75,[[0.36052764]]
49,87,[[0.24739452]]
49,88,[[0.27171823]]
49,89,[[0.23917234]]
49,90,[[0.09023584]]
49,91,[[0.24161885]]
49,95,[[0.40599961]]
49,96,[[0.38099402]]
49,97,[[0.3058757]]
49,98,[[0.35833515]]
49,99,[[0.30875343]]
50,56,[[0.32787949]]
50,57,[[0.31652481]]
50,58,[[0.25255003]]
50,69,[[0.45553796]]
50,70,[[0.46156171]]
50,71,[[0.45964194]]
50,72,[[0.43349737]]
50,73,[[0.42792106]]
50,74,[[0.43349953]]
50,75,[[0.39410248]]
50,87,[[0.23513023]]
50,88,[[0.2664957]]
50,89,[[0.21811149]]
50,90,[[0.06791707]]
50,91,[[0.22309198]]
50,95,[[0.39355754]]
50,96,[[0.34086001]]
50,97,[[0.27962346]]
50,98,[[0.33237189]]
50,99,[[0.2793174]]
56,57,[[0.98025972]]
56,58,[[0.91876533]]
56,69,[[0.38321641]]
56,70,[[0.35395901]]
56,71,[[0.39804272]]
56,72,[[0.31220254]]
56,73,[[0.36796892]]
56,74,[[0.45398038]]
56,75,[[0.46118876]]
56,87,[[0.38535589]]
56,88,[[0.4110729]]
56,89,[[0.30641246]]
56,90,[[0.39113216]]
56,91,[[0.41023104]]
56,95,[[0.39551019]]
56,96,[[0.40068152]]
56,97,[[0.42014995]]
56,98,[[0.46990682]]
56,99,[[0.42676718]]
57,58,[[0.89886243]]
57,69,[[0.39719937]]
57,70,[[0.36998221]]
57,71,[[0.4028257]]
57,72,[[0.34099917]]
57,73,[[0.38422003]]
57,74,[[0.4410489]]
57,75,[[0.43959209]]
57,87,[[0.377553]]
57,88,[[0.39584796]]
57,89,[[0.2983441]]
57,90,[[0.3815791]]
57,91,[[0.385727]]
57,95,[[0.37681627]]
57,96,[[0.39523701]]
57,97,[[0.41769555]]
57,98,[[0.46040517]]
57,99,[[0.42417715]]
58,69,[[0.33804619]]
58,70,[[0.30328851]]
58,71,[[0.33777576]]
58,72,[[0.30378422]]
58,73,[[0.33761317]]
58,74,[[0.39323104]]
58,75,[[0.41726086]]
58,87,[[0.36081855]]
58,88,[[0.39192625]]
58,89,[[0.36015403]]
58,90,[[0.37003844]]
58,91,[[0.39131299]]
58,95,[[0.45001955]]
58,96,[[0.46289597]]
58,97,[[0.47481264]]
58,98,[[0.51359878]]
58,99,[[0.47674713]]
69,70,[[0.98350519]]
69,71,[[0.90847265]]
69,72,[[0.9789182]]
69,73,[[0.98650979]]
69,74,[[0.47181081]]
69,75,[[0.39002543]]
69,87,[[0.42723411]]
69,88,[[0.40971209]]
69,89,[[0.31453175]]
69,90,[[0.35844796]]
69,91,[[0.38774633]]
69,95,[[0.3572528]]
69,96,[[0.30793481]]
69,97,[[0.24934663]]
69,98,[[0.29533369]]
69,99,[[0.27045312]]
70,71,[[0.92815178]]
70,72,[[0.96665461]]
70,73,[[0.97333007]]
70,74,[[0.46175933]]
70,75,[[0.36332449]]
70,87,[[0.45186339]]
70,88,[[0.44087853]]
70,89,[[0.32329093]]
70,90,[[0.37351942]]
70,91,[[0.41015277]]
70,95,[[0.28830121]]
70,96,[[0.25756654]]
70,97,[[0.19612791]]
70,98,[[0.24306675]]
70,99,[[0.22107477]]
71,72,[[0.88653498]]
71,73,[[0.90233639]]
71,74,[[0.27086028]]
71,75,[[0.21176468]]
71,87,[[0.42476341]]
71,88,[[0.42516188]]
71,89,[[0.2791015]]
71,90,[[0.35767847]]
71,91,[[0.38981554]]
71,95,[[0.28952948]]
71,96,[[0.23217538]]
71,97,[[0.19971845]]
71,98,[[0.24328996]]
71,99,[[0.22333597]]
72,73,[[0.96561723]]
72,74,[[0.45370856]]
72,75,[[0.36682822]]
72,87,[[0.39997892]]
72,88,[[0.38070416]]
72,89,[[0.32068727]]
72,90,[[0.3282261]]
72,91,[[0.36360073]]
72,95,[[0.36838799]]
72,96,[[0.34019842]]
72,97,[[0.28684733]]
72,98,[[0.31756303]]
72,99,[[0.30099901]]
73,74,[[0.44335376]]
73,75,[[0.38144492]]
73,87,[[0.41716891]]
73,88,[[0.38605234]]
73,89,[[0.30133327]]
73,90,[[0.35302041]]
73,91,[[0.37059597]]
73,95,[[0.38713707]]
73,96,[[0.32887563]]
73,97,[[0.27544626]]
73,98,[[0.317635]]
73,99,[[0.29967353]]
74,75,[[0.94004431]]
74,87,[[0.48553512]]
74,88,[[0.45802556]]
74,89,[[0.45695228]]
74,90,[[0.44019591]]
74,91,[[0.45469665]]
74,95,[[0.36640441]]
74,96,[[0.35509522]]
74,97,[[0.30673795]]
74,98,[[0.36851019]]
74,99,[[0.33100941]]
75,87,[[0.38970598]]
75,88,[[0.35159858]]
75,89,[[0.37100822]]
75,90,[[0.38561996]]
75,91,[[0.37188499]]
75,95,[[0.4589072]]
75,96,[[0.42932755]]
75,97,[[0.39831413]]
75,98,[[0.45447991]]
75,99,[[0.43299885]]
87,88,[[0.97411297]]
87,89,[[0.8922099]]
87,90,[[0.89802897]]
87,91,[[0.97756242]]
87,95,[[0.05234747]]
87,96,[[0.04114863]]
87,97,[[-0.00205012]]
87,98,[[0.04304117]]
87,99,[[0.00067527]]
88,89,[[0.89962121]]
88,90,[[0.85937728]]
88,91,[[0.97197689]]
88,95,[[-0.02439928]]
88,96,[[-0.02740303]]
88,97,[[-0.06635983]]
88,98,[[-0.0196405]]
88,99,[[-0.06676492]]
89,90,[[0.75991812]]
89,91,[[0.88481726]]
89,95,[[0.14124393]]
89,96,[[0.13782291]]
89,97,[[0.10966632]]
89,98,[[0.13574473]]
89,99,[[0.12039996]]
90,91,[[0.890192]]
90,95,[[0.14818012]]
90,96,[[0.12391959]]
90,97,[[0.10024542]]
90,98,[[0.13916082]]
90,99,[[0.08777749]]
91,95,[[0.0194801]]
91,96,[[0.0149591]]
91,97,[[-0.02249743]]
91,98,[[0.02320143]]
91,99,[[-0.02269378]]
95,96,[[0.91243148]]
95,97,[[0.90914285]]
95,98,[[0.92197274]]
95,99,[[0.90312885]]
96,97,[[0.98380387]]
96,98,[[0.9870982]]
96,99,[[0.97895884]]
97,98,[[0.9822967]]
97,99,[[0.98314694]]
98,99,[[0.98633123]]
