record_from,record_to,cos_distance
5,40,[[0.41218909]]
5,41,[[0.38114487]]
5,42,[[0.3966134]]
5,46,[[0.41752289]]
5,47,[[0.29871727]]
5,48,[[0.29650331]]
5,49,[[0.32679673]]
5,50,[[0.3803104]]
5,56,[[0.41766197]]
5,57,[[0.41119456]]
5,58,[[0.44938329]]
5,69,[[0.37347532]]
5,70,[[0.33964331]]
5,71,[[0.3297202]]
5,72,[[0.37603584]]
5,73,[[0.3615389]]
5,74,[[0.33878649]]
5,75,[[0.40990749]]
5,87,[[0.44416535]]
5,88,[[0.45793504]]
5,89,[[0.49299166]]
5,90,[[0.38946227]]
5,91,[[0.45297628]]
5,95,[[0.39243001]]
5,96,[[0.31042996]]
5,97,[[0.31177779]]
5,98,[[0.28169065]]
5,99,[[0.27523855]]
6,7,[[0.88393026]]
6,8,[[0.90695229]]
6,14,[[0.45829142]]
6,15,[[0.46828734]]
6,16,[[0.4474158]]
6,17,[[0.43067728]]
6,18,[[0.4138241]]
6,19,[[0.42504908]]
6,20,[[0.43958376]]
6,21,[[0.46506373]]
6,22,[[0.34114352]]
6,28,[[0.25062783]]
6,29,[[0.30787997]]
6,31,[[0.41422911]]
6,32,[[0.35357064]]
6,33,[[0.36755406]]
6,34,[[0.33898169]]
6,37,[[0.3623035]]
6,38,[[0.4222257]]
6,39,[[0.39028809]]
6,40,[[0.36725041]]
6,41,[[0.32924317]]
6,42,[[0.34825906]]
6,46,[[0.29911007]]
6,47,[[0.30741145]]
6,48,[[0.29765597]]
6,49,[[0.31816165]]
6,50,[[0.37889227]]
6,56,[[0.42887573]]
6,57,[[0.45077791]]
6,58,[[0.45987034]]
6,69,[[0.39941646]]
6,70,[[0.3786785]]
6,71,[[0.36889446]]
6,72,[[0.40486961]]
6,73,[[0.38901154]]
6,74,[[0.3136667]]
6,75,[[0.36348452]]
6,87,[[0.37339765]]
6,88,[[0.40612517]]
6,89,[[0.42174033]]
6,90,[[0.35504842]]
6,91,[[0.3857241]]
6,95,[[0.37040877]]
6,96,[[0.36455768]]
6,97,[[0.38881852]]
6,98,[[0.33426104]]
6,99,[[0.32787151]]
7,8,[[0.90385702]]
7,14,[[0.33067344]]
7,15,[[0.31264296]]
7,16,[[0.32494143]]
7,17,[[0.29474511]]
7,18,[[0.31421887]]
7,19,[[0.37224193]]
7,20,[[0.36762055]]
7,21,[[0.40396244]]
7,22,[[0.31490204]]
7,28,[[0.28346723]]
7,29,[[0.32200085]]
7,31,[[0.41599855]]
7,32,[[0.38685212]]
7,33,[[0.41727806]]
7,34,[[0.38676311]]
7,37,[[0.30039371]]
7,38,[[0.33563607]]
7,39,[[0.32166702]]
7,40,[[0.38944954]]
7,41,[[0.3608098]]
7,42,[[0.38115708]]
7,46,[[0.33585185]]
7,47,[[0.23347846]]
7,48,[[0.21817641]]
7,49,[[0.25091688]]
7,50,[[0.30700081]]
7,56,[[0.42229094]]
7,57,[[0.42052515]]
7,58,[[0.47071956]]
7,69,[[0.40223065]]
7,70,[[0.36502107]]
7,71,[[0.34535827]]
7,72,[[0.41716123]]
7,73,[[0.38655606]]
7,74,[[0.34290545]]
7,75,[[0.40173142]]
7,87,[[0.44252961]]
7,88,[[0.45974403]]
7,89,[[0.47204794]]
7,90,[[0.40890267]]
7,91,[[0.46225094]]
7,95,[[0.33499644]]
7,96,[[0.26107491]]
7,97,[[0.26871278]]
7,98,[[0.23377859]]
7,99,[[0.22110876]]
8,14,[[0.37770718]]
8,15,[[0.37974027]]
8,16,[[0.38486041]]
8,17,[[0.34451259]]
8,18,[[0.40523998]]
8,19,[[0.41640436]]
8,20,[[0.43293771]]
8,21,[[0.44467197]]
8,22,[[0.34016326]]
8,28,[[0.23863682]]
8,29,[[0.31120374]]
8,31,[[0.49485602]]
8,32,[[0.47595182]]
8,33,[[0.50213351]]
8,34,[[0.48216565]]
8,37,[[0.35593618]]
8,38,[[0.37389537]]
8,39,[[0.38066779]]
8,40,[[0.41081201]]
8,41,[[0.34980535]]
8,42,[[0.36437033]]
8,46,[[0.35904]]
8,47,[[0.28285103]]
8,48,[[0.26338152]]
8,49,[[0.29121131]]
8,50,[[0.34127376]]
8,56,[[0.42059234]]
8,57,[[0.41807989]]
8,58,[[0.38122474]]
8,69,[[0.42347318]]
8,70,[[0.40429898]]
8,71,[[0.40075394]]
8,72,[[0.41756546]]
8,73,[[0.40867598]]
8,74,[[0.30744271]]
8,75,[[0.35738863]]
8,87,[[0.45344412]]
8,88,[[0.48679396]]
8,89,[[0.44649444]]
8,90,[[0.39508509]]
8,91,[[0.48612128]]
8,95,[[0.22369736]]
8,96,[[0.20715808]]
8,97,[[0.22201611]]
8,98,[[0.17899744]]
8,99,[[0.18119568]]
14,15,[[0.81694941]]
14,16,[[0.9820833]]
14,17,[[0.97645077]]
14,18,[[0.91178983]]
14,19,[[0.40852509]]
14,20,[[0.39101391]]
14,21,[[0.45437855]]
14,22,[[0.3648629]]
14,28,[[0.39724837]]
14,29,[[0.4357056]]
14,31,[[0.38388673]]
14,32,[[0.36030202]]
14,33,[[0.37875667]]
14,34,[[0.36888831]]
14,37,[[0.35784442]]
14,38,[[0.33397196]]
14,39,[[0.36996482]]
14,40,[[0.39804797]]
